game_id,home_team,away_team,prob_home_win,rand,home_wins,feature_vector,sim_id
22400050,Hornets,76ers,0.14132577892280124,0.4605940286225447,False,"[1.0, 119.85182043440176, -10.081917200867965, 1.1429718790024475, -0.09348030034175503, -0.38670774115452716, -10.081917200867965, -0.03973279267645682, -0.10897232885271735, -0.0947634176040011, 6.499456687426422, -16.581373888294387, 0.0, 0.9611591296577577, -1009.76889706656, 1.0]",17
22400051,Cavaliers,Wizards,0.9739620514290361,0.750681410159588,True,"[1.0, 111.52681437204568, 2.290748433708948, 1.1506887828455852, 0.020912402949791645, -0.26193804966715484, 2.290748433708948, 0.02173185059004513, 0.006063358111197725, 0.0035318496958821007, -8.950989001062297, 11.241737434771245, 0.0, 0.991384846574914, 221.2326428339936, 1.0]",17
22400052,Pistons,Bucks,0.2923752433406218,0.5234871166874949,False,"[1.0, 117.43581772466813, -8.271774760204734, 1.1415246300772188, -0.07993811269354402, 0.2677346829663914, -8.271774760204734, -0.02740127361331675, -0.01342595319751364, 0.0918685870368302, 2.7839009228813114, -11.055675683086045, 0.0, 0.9615065047324208, -821.6360980233591, 1.0]",17
22400053,Knicks,Magic,0.13063670757992013,0.9754588802427973,False,"[1.0, 111.64634797522285, 3.567301897389642, 1.1472042946150867, 0.04546281032178042, 0.22725353766359302, 3.567301897389642, -0.002959982568271078, 0.12711672885241895, -0.05354334566086322, 2.66429064435739, 0.9030112530322523, 0.0, 1.0112944343325416, 441.75090440327125, 1.0]",17
22400054,Raptors,Pacers,0.4507060847283301,0.19873940286684322,True,"[1.0, 115.14245728997082, -2.335870715798857, 1.143839253380649, -0.011756763901572454, -0.0014749979439138902, -2.335870715798857, -0.03252436750636045, -0.02529310460016813, 0.012074719787655045, 2.1795502322277733, -4.51542094802663, 0.0, 0.9816308762632978, -244.99442761941114, 1.0]",17
22400055,Thunder,Jazz,0.9081410638859517,0.5968007528792867,True,"[1.0, 111.10826740268874, 7.063453466488466, 1.139986476611223, 0.0682273843605097, -0.013112667519596508, 7.063453466488466, 0.03646206511415442, -0.07944419551463304, -0.06828940570766051, -4.899899626275074, 11.96335309276354, 0.0, 1.0357227751721931, 701.4126756095604, 1.0]",17
22400056,Mavericks,Grizzlies,0.848547883712393,0.9877060047597672,False,"[1.0, 116.37199008914088, 0.630544721261983, 1.1444007349504046, 0.01779559649011543, -0.006202730972956223, 0.630544721261983, 0.01818029000594149, -0.003269351388001255, -0.07412416273990806, -6.243974390446941, 6.874519111708924, 0.0, 1.0423635855379785, 179.28420212875238, 1.0]",17
22400057,Suns,Spurs,0.9518335375161007,0.4902198429740965,True,"[1.0, 113.67056901824613, 2.622448469192782, 1.139917763592273, 0.017269819591740877, 0.20358577586632687, 2.622448469192782, 0.036233334906198025, 0.05652200348675029, 0.055226208541974985, -9.422397937071043, 12.044846406263826, 0.0, 1.018501421698677, 276.9708403040488, 1.0]",17
22400058,Nuggets,Warriors,0.3325127989844281,0.5473182712318904,False,"[1.0, 111.87183683594269, 4.353133872610539, 1.1375799895309453, 0.047444611923279645, -0.0365902972833367, 4.353133872610539, 0.033426263254855, 0.027943981498775517, -0.05334098067560805, 1.432490647599789, 2.92064322501075, 0.0, 1.0326937085876213, 559.2162441635338, 1.0]",17
22400059,Kings,Rockets,0.8227501694821042,0.38591269757071944,True,"[1.0, 115.09706241383014, 0.9651343903217882, 1.1433620694769395, 0.00019020761664262828, -0.07074979832613075, 0.9651343903217882, 0.00019948538449622498, -0.11250781629380376, 0.11098686741518221, 1.0933162310001205, -0.12818184067833238, 0.0, 1.0118259817261521, 37.50216023508178, 1.0]",17
22400060,Clippers,Trail Blazers,0.9810574122692312,0.13487643041240882,True,"[1.0, 112.94689311875071, 5.396151927299409, 1.1431052428730601, 0.05722969160570149, -0.07374777258749853, 5.396151927299409, 0.026678946683450288, -0.16175445231411859, -0.07366170823020712, -8.017348942024503, 13.413500869323912, 0.0, 1.0317262238386866, 471.32737179486185, 1.0]",17
22400089,Pistons,Celtics,0.04645612139155021,0.04144327337634468,True,"[1.0, 117.45888742044205, -7.951642479442386, 1.1469875516947128, -0.073927548998146, 0.26776681325979046, -7.951642479442386, -0.027517452152862693, -0.036181334734929405, 0.12435802685257824, 10.746766128903834, -18.69840860834622, 0.0, 0.9615065047324208, -821.6360980233591, 1.0]",17
22400092,Grizzlies,Magic,0.32749802641259423,0.6046825564223431,False,"[1.0, 113.29041703981525, -5.916533899572664, 1.1472042946150867, -0.0534003194170658, 0.015614822620152298, -5.916533899572664, -0.0439113581080949, 0.010474565341877958, 0.028038038484611175, 2.66429064435739, -8.580824543930053, 0.0, 0.9348576220816756, -623.3187977396625, 1.0]",17
22400093,Timberwolves,Raptors,0.6889364280719215,0.6447780054926845,True,"[1.0, 107.26883472706638, 5.803899442423424, 1.1462436503451447, 0.04258000971551772, -0.20386717100196458, 5.803899442423424, 0.047957565222898776, -0.002873357643236381, -0.09681760866446767, -2.562534886595242, 8.366434329018666, 0.0, 0.9914570665550528, 634.7920072723942, 1.0]",17
22400097,Pacers,76ers,0.08286019599004751,0.4687945569420583,False,"[1.0, 119.06328993393998, 3.292212936260708, 1.1429718790024475, 0.011300980251323756, 0.25018377009182735, 3.292212936260708, 0.020807418591540047, -0.07005692236300017, -0.13244960858525262, 6.499456687426422, -3.2072437511657137, 0.0, 1.0608355430895817, 222.36229963166133, 1.0]",17
22400098,Nets,Bucks,0.4478307026124307,0.9911671877562058,False,"[1.0, 115.82403512516757, -0.4925904795001918, 1.1415246300772188, -0.02022107452500845, 0.19134924876965148, -0.4925904795001918, -0.013181320667148673, 0.01130809319601464, 0.12002524450454245, 2.7839009228813114, -3.2764914023815033, 0.0, 1.0066180191534109, -98.14812048163841, 1.0]",17
22400099,Trail Blazers,Pelicans,0.17315147147501858,0.8915187125329989,False,"[1.0, 115.53337198130473, -8.2104489867638, 1.1430634704873046, -0.07321416346654952, 0.06282488022845976, -8.2104489867638, -0.05259943000195523, 0.06198599174645987, 0.001109814774150241, 2.7169741418814533, -10.927423128645254, 0.0, 0.9396071649917573, -777.6938975536166, 1.0]",17
22400100,Thunder,Hawks,0.8105583077407191,0.39382452286137404,True,"[1.0, 111.12739910398183, 7.134264828902936, 1.141637544868045, 0.06512869729187219, -0.03883709265755626, 7.134264828902936, 0.03872312989956915, -0.09094775373178426, 0.0048884790957483965, -0.5969717540900144, 7.73123658299295, 0.0, 1.0357227751721931, 701.4126756095604, 1.0]",17
22400101,Warriors,Clippers,0.22826928620254375,0.40621093625227855,False,"[1.0, 114.43401290829455, 1.6890017559575632, 1.1413393825029812, 0.025817199332979508, -0.22942606855148193, 1.6890017559575632, 0.018640998575020537, 0.031961488244547906, -0.030262886449984344, 4.78292780778637, -3.0939260518288068, 0.0, 1.0192324762201381, 148.76706173667534, 1.0]",17
22400102,Magic,Pacers,0.4953932563063985,0.5198507198473451,False,"[1.0, 109.6886733817935, 2.8654503222138454, 1.143839253380649, 0.028565644857161593, 0.13583159086806976, 2.8654503222138454, 0.004298460915204253, -0.005387298077669062, 0.06831039760188348, 2.1795502322277733, 0.6859000899860721, 0.0, 0.97921628489427, 277.693012872954, 1.0]",17
22400103,Hawks,Wizards,0.958491086424942,0.6055674061314046,True,"[1.0, 118.36276011453106, 0.5088453946364465, 1.1506887828455852, 0.0033827117989768556, -0.13404391778995703, 0.5088453946364465, -0.030689720081358923, 0.026415955844636064, -0.07273636977521687, -8.950989001062297, 9.459834395698744, 0.0, 1.0313436318116642, -43.67949317784095, 1.0]",17
22400104,Celtics,Bucks,0.24792626464863293,0.0910250123465739,True,"[1.0, 109.70927501279652, 10.38133572163557, 1.1415246300772188, 0.08727625830178184, 0.01675045699516694, 10.38133572163557, 0.055938319069279194, 0.06758470119913437, -0.07101248623066383, 2.7839009228813114, 7.597434798754259, 0.0, 1.0529693851306454, 1044.712316345872, 1.0]",17
22400105,Heat,Pistons,0.9829972599194552,0.858997700643478,True,"[1.0, 112.42550980615074, 0.4353915213872997, 1.1433228905181658, 0.01145982914588439, 0.06170708825698549, 0.4353915213872997, -0.0022372053540467033, -0.12494762949061355, 0.09874308436950549, -7.957160267175107, 8.392551788562407, 0.0, 0.9819361090279658, 109.19020682123279, 1.0]",17
22400106,Knicks,Cavaliers,0.17669943743610936,0.1309451610028809,True,"[1.0, 111.66910377331956, 3.8371871032487226, 1.1410314545392328, 0.040888815424083166, 0.3178556027201219, 3.8371871032487226, -0.002804141813953243, 0.11041682445445408, -0.03396588936529068, 1.8768798201133872, 1.9603072831353354, 0.0, 1.0112944343325416, 441.75090440327125, 1.0]",17
22400107,Raptors,Nuggets,0.0929275800575565,0.5053220284076384,False,"[1.0, 115.11708172664075, -2.5470690093639536, 1.1404543961983624, -0.011902618460208283, -0.07942446477005084, -2.5470690093639536, -0.03107817103722054, -0.016062424802125056, -0.13437418278996102, 5.653773131751068, -8.200842141115022, 0.0, 0.9816308762632978, -244.99442761941114, 1.0]",17
22400108,Grizzlies,Bulls,0.775452772484522,0.5350287628449002,True,"[1.0, 113.2622741566901, -5.703704543200361, 1.1460257395655886, -0.05654669373361233, 0.04348346435528762, -5.703704543200361, -0.044371580831647314, 0.031223691540364307, 0.048617445089040555, -3.359809858680529, -2.343894684519832, 0.0, 0.9348576220816756, -623.3187977396625, 1.0]",17
22400109,Spurs,Rockets,0.3129161306090034,0.6412469311800784,False,"[1.0, 117.85596578496762, -10.09244595324424, 1.1433620694769395, -0.0884990849893484, -0.1748638388501262, -10.09244595324424, -0.025526684647254792, 0.0008802648070974362, -0.05448514118241664, 1.0933162310001205, -11.18576218424436, 0.0, 0.9549776761111957, -997.3305654212427, 1.0]",17
22400110,Mavericks,Jazz,0.8543536552243666,0.3431328647196512,True,"[1.0, 116.37809441697831, 1.2414324815335949, 1.139986476611223, 0.02077413486953675, -0.016026436906402847, 1.2414324815335949, 0.021161414466682977, -0.038769750120063076, -0.05165888536702583, -4.899899626275074, 6.141332107808669, 0.0, 1.0423635855379785, 179.28420212875238, 1.0]",17
22400111,Suns,Lakers,0.690982905469515,0.3470513168867069,True,"[1.0, 113.70620860578532, 3.0744133513964274, 1.143397658147883, 0.016302960793157018, 0.20352185932064923, 3.0744133513964274, 0.033962516298730774, 0.004271667589359589, 0.07334561073860595, -1.0938383025271634, 4.1682516539235905, 0.0, 1.018501421698677, 276.9708403040488, 1.0]",17
22400112,Kings,Trail Blazers,0.9834684439190998,0.911782151031948,True,"[1.0, 115.08170853814926, 1.047451068523583, 1.1431052428730601, -0.0023855993960488985, -0.09068490500205043, 1.047451068523583, 0.0005388681965318089, -0.05713271699312263, 0.09229370622485585, -8.017348942024503, 9.064800010548087, 0.0, 1.0118259817261521, 37.50216023508178, 1.0]",17
22400113,Nets,Nuggets,0.20714276802564768,0.1058205088064349,True,"[1.0, 115.83571821367407, -0.32533164354926564, 1.1404543961983624, -0.01916414128423584, 0.21147403236326118, -0.32533164354926564, -0.012288868289843848, 0.014044295052714878, 0.09214471508000152, 5.653773131751068, -5.979104775300334, 0.0, 1.0066180191534109, -98.14812048163841, 1.0]",17
22400114,Timberwolves,Mavericks,0.29483961319657215,0.04204236118346749,True,"[1.0, 107.24452396531797, 5.8227822949577135, 1.135750596803413, 0.044800262270357064, -0.2024889252277105, 5.8227822949577135, 0.047378658683114694, 0.02280738319225148, -0.1057653419805205, 1.8129807216430216, 4.009801573314692, 0.0, 0.9914570665550528, 634.7920072723942, 1.0]",17
22400115,Jazz,Kings,0.152108491943751,0.6445963229067687,False,"[1.0, 118.40664071296615, -4.698575403031272, 1.1419495326162614, -0.020070331665932584, 0.33862541017375436, -4.698575403031272, -0.02666288012365297, 0.13241483268499196, -0.10034654902245874, 0.27701289249343436, -4.975588295524707, 0.0, 0.9996179737382576, -533.8287610398123, 1.0]",17
22400116,Warriors,Pelicans,0.43588698112336516,0.7681512536681984,False,"[1.0, 114.44262059032444, 1.7278667147434696, 1.1430634704873046, 0.024903309603009037, -0.2177752266094659, 1.7278667147434696, 0.019007945721650512, 0.02256423918700305, 0.006655947929915601, 2.7169741418814533, -0.9891074271379836, 0.0, 1.0192324762201381, 148.76706173667534, 1.0]",17
22400117,Hornets,Raptors,0.764259905971234,0.040372101281059614,True,"[1.0, 119.87794752734864, -10.414553346035877, 1.1462436503451447, -0.09285277874746792, -0.46883871353680495, -10.414553346035877, -0.041639074117595154, -0.08563675921040688, -0.08197054495833248, -2.562534886595242, -7.852018459440635, 0.0, 0.9611591296577577, -1009.76889706656, 1.0]",17
22400118,Cavaliers,Lakers,0.8195148675855771,0.8737230035139797,False,"[1.0, 111.55715490363532, 1.9963873105846481, 1.143397658147883, 0.02573549431932256, -0.2571886245000409, 1.9963873105846481, 0.022125048220212266, -0.07840288426716491, 0.00581264005403964, -1.0938383025271634, 3.0902256131118113, 0.0, 0.991384846574914, 221.2326428339936, 1.0]",17
22400119,Pacers,Celtics,0.021290576316093407,0.5549706856616018,False,"[1.0, 119.11734167278424, 3.295808071867094, 1.1469875516947128, 0.01139377689497386, 0.24588044694680497, 3.295808071867094, 0.019373259326308814, -0.06152585197095588, -0.13402034944670305, 10.746766128903834, -7.45095805703674, 0.0, 1.0608355430895817, 222.36229963166133, 1.0]",17
22400120,76ers,Pistons,0.9712338042346098,0.22683997269646616,True,"[1.0, 112.05510431327681, 6.219807773611447, 1.1433228905181658, 0.07657755400485089, 0.3520034275529958, 6.219807773611447, -0.005646323175465781, 0.03397792245213962, 0.1394131288184298, -7.957160267175107, 14.176968040786555, 0.0, 1.037235131532197, 672.0010047226717, 1.0]",17
22400121,Wizards,Hawks,0.41864172453716525,0.6221993631315476,False,"[1.0, 120.01509519235132, -8.110706440329938, 1.141637544868045, -0.10142490858508454, -0.14957116082376326, -8.110706440329938, -0.023441036196447877, -0.010329265387172937, -0.11916742904844553, -0.5969717540900144, -7.513734686239924, 0.0, 0.9698293652220705, -988.8738690525686, 1.0]",17
22400122,Heat,Knicks,0.40784875608403304,0.6044780127833093,False,"[1.0, 112.47442888647797, 0.41458366567392047, 1.1453486342751489, 0.007272193825896578, 0.08277221083429548, 0.41458366567392047, -0.0022327838262833893, -0.07523146795106009, 0.09081821402865899, 4.3412337354585375, -3.926650069784617, 0.0, 0.9819361090279658, 109.19020682123279, 1.0]",17
22400123,Bulls,Magic,0.5349978586675939,0.3728236047134649,True,"[1.0, 114.94953951436962, -3.1017783507434835, 1.1472042946150867, -0.035851937809026645, -0.26436013264316865, -3.1017783507434835, -0.021776064724293328, -0.03800162440100586, 0.029105587320025595, 2.66429064435739, -5.7660689951008735, 0.0, 0.9782590667602007, -363.3647938904737, 1.0]",17
22400124,Grizzlies,Nets,0.5007841742815381,0.34410910098940994,True,"[1.0, 113.25603470524885, -5.71862757900588, 1.1427310387744807, -0.05600224651951719, 0.05563206351381051, -5.71862757900588, -0.04517203410980579, 0.04952961410744838, -0.0027893110633766343, -1.0115467299011516, -4.707080849104729, 0.0, 0.9348576220816756, -623.3187977396625, 1.0]",17
22400125,Thunder,Spurs,0.9910111175237053,0.6149297297472769,True,"[1.0, 111.1136127719777, 6.844395236129654, 1.139917763592273, 0.06389462616844846, -0.008573133655845963, 6.844395236129654, 0.037997778303170734, -0.14126854327986632, 0.031010175287120523, -9.422397937071043, 16.266793173200696, 0.0, 1.0357227751721931, 701.4126756095604, 1.0]",17
22400126,Warriors,Pelicans,0.5552105440026961,0.31248653703330487,True,"[1.0, 114.43476530912984, 1.302251990831557, 1.1430634704873046, 0.025100583704503878, -0.2488403870339264, 1.302251990831557, 0.020169356264467246, -0.008279844513824158, 0.05896694903768392, 2.7169741418814533, -1.4147221510498962, 0.0, 1.0192324762201381, 148.76706173667534, 1.0]",17
22400127,Clippers,Trail Blazers,0.975998375725633,0.6043548595700383,True,"[1.0, 112.96916948997026, 5.279782056974056, 1.1431052428730601, 0.05746119603892599, -0.0596613026006295, 5.279782056974056, 0.02454857897506358, -0.11293719349973544, -0.05957663372989114, -8.017348942024503, 13.297130998998558, 0.0, 1.0317262238386866, 471.32737179486185, 1.0]",17
22400128,Grizzlies,Bucks,0.21016565321826652,0.6843381319469662,False,"[1.0, 113.26912033125647, -5.436289288100204, 1.1415246300772188, -0.05560239094707049, 0.0467896914638546, -5.436289288100204, -0.043902039636590964, 0.059983144764795646, -0.01576704764450686, 2.7839009228813114, -8.220190210981515, 0.0, 0.9348576220816756, -623.3187977396625, 1.0]",17
22400129,Mavericks,Rockets,0.5938927935153714,0.15930420256851074,True,"[1.0, 116.40264928007589, 1.6992513917083478, 1.1433620694769395, 0.01668241127282812, 0.00866604031026883, 1.6992513917083478, 0.021882068331275085, -0.12606363970817178, -0.05242671659365924, 1.0933162310001205, 0.6059351607082273, 0.0, 1.0423635855379785, 179.28420212875238, 1.0]",17
22400130,Jazz,Spurs,0.789859862055522,0.21959481974033113,True,"[1.0, 118.38395904621315, -4.439895866548248, 1.139917763592273, -0.0197864073150666, 0.37684258074039195, -4.439895866548248, -0.027468133880735057, 0.1522854474807997, -0.10088214501153692, -9.422397937071043, 4.982502070522795, 0.0, 0.9996179737382576, -533.8287610398123, 1.0]",17
22400131,Clippers,Suns,0.7188816352260804,0.10497457557982692,True,"[1.0, 112.98628079553207, 4.892070221990461, 1.139385954999934, 0.057038058423164624, -0.07272170961584302, 4.892070221990461, 0.0245304143819114, -0.17116090619390778, -0.002898865648895033, 2.4087333130086486, 2.4833369089818125, 0.0, 1.0317262238386866, 471.32737179486185, 1.0]",17
22400132,Hornets,Celtics,0.03821323805908665,0.6921893001187006,False,"[1.0, 119.86962660357429, -10.22387851940907, 1.1469875516947128, -0.08918912655625336, -0.4439499067241496, -10.22387851940907, -0.04026727377635129, -0.09378072589927651, -0.10031450743416079, 10.746766128903834, -20.970644648312906, 0.0, 0.9611591296577577, -1009.76889706656, 1.0]",17
22400133,Cavaliers,Magic,0.5825737874723123,0.41684437356821247,True,"[1.0, 111.57850379933738, 1.7646635517080398, 1.1472042946150867, 0.024575217598589345, -0.26025897938410586, 1.7646635517080398, 0.023814162900267593, -0.08354625075235426, 0.015393487959531535, 2.66429064435739, -0.8996270926493501, 0.0, 0.991384846574914, 221.2326428339936, 1.0]",17
22400134,Pistons,Knicks,0.18611831221104927,0.40691663555502844,False,"[1.0, 117.45624428917826, -8.137253299059827, 1.1453486342751489, -0.07333244317999114, 0.2981068202571415, -8.137253299059827, -0.032019520630967836, -0.09462877562671883, -0.006882870256161152, 4.3412337354585375, -12.478487034518364, 0.0, 0.9615065047324208, -821.6360980233591, 1.0]",17
22400135,Hawks,Kings,0.5022001951191188,0.06971679825267263,True,"[1.0, 118.3678265178064, -0.18657461349525026, 1.1419495326162614, 0.0016603293638108065, -0.15470142380737345, -0.18657461349525026, -0.028410115443928203, -0.0019864447673794195, -0.09172307738273704, 0.27701289249343436, -0.4635875059886846, 0.0, 1.0313436318116642, -43.67949317784095, 1.0]",17
22400136,Nets,Bulls,0.8486793290817394,0.6298339770377509,True,"[1.0, 115.83231639865642, -0.41069899162450263, 1.1460257395655886, -0.018071529277003843, 0.26583347634053694, -0.41069899162450263, -0.010969344926411842, -0.015499267817270759, 0.09437097471903273, -3.359809858680529, 2.9491108670560267, 0.0, 1.0066180191534109, -98.14812048163841, 1.0]",17
22400137,Raptors,Lakers,0.4637075700113222,0.4428346356049605,True,"[1.0, 115.09756205575387, -2.5152336426149193, 1.143397658147883, -0.013978273355794579, -0.06441792813421793, -2.5152336426149193, -0.031230104767978033, -0.026481360025047328, -0.15351878107451594, -1.0938383025271634, -1.421395340087756, 0.0, 0.9816308762632978, -244.99442761941114, 1.0]",17
